epoch,loss_epoch,trainCSF_epoch,trainGM_epoch,trainWM_epoch,val_loss,valCSF,valGM,valWM
7,0.06452611833810806,0.9882906675338745,0.9839151501655579,0.9733996987342834,0.047373633831739426,0.991962194442749,0.9870507121086121,0.9820557236671448
8,0.06419213116168976,0.988322377204895,0.9840271472930908,0.9734095931053162,0.047916632145643234,0.9919180274009705,0.9870293140411377,0.9816895723342896
9,0.06398722529411316,0.9884306788444519,0.9840565919876099,0.9735462069511414,0.04744688794016838,0.9918168783187866,0.9870408773422241,0.9819044470787048
10,0.06394238024950027,0.9883809089660645,0.984148383140564,0.973804771900177,0.04651549458503723,0.9920058846473694,0.9874119758605957,0.9820213913917542
11,0.06391102075576782,0.9883993864059448,0.9839587807655334,0.9735318422317505,0.04698406532406807,0.9919740557670593,0.987107515335083,0.9823453426361084
12,0.06379320472478867,0.9884287118911743,0.9840737581253052,0.9737856388092041,0.04734288156032562,0.9919978976249695,0.9871262311935425,0.9818731546401978
13,0.06333209574222565,0.9885300993919373,0.9843162894248962,0.9738781452178955,0.04682881757616997,0.9918092489242554,0.9872906804084778,0.9821954965591431
14,0.06343428790569305,0.9884687066078186,0.9842329025268555,0.9738779664039612,0.0465376190841198,0.9918861389160156,0.9872888326644897,0.9823248386383057
1,0.06333082169294357,0.9885237216949463,0.984152615070343,0.9739111661911011,0.046232666820287704,0.9921051859855652,0.9871071577072144,0.9823440909385681
2,0.06299251317977905,0.9885966181755066,0.9842906594276428,0.9741402268409729,0.04598192498087883,0.9921279549598694,0.9874578714370728,0.9823231101036072
3,0.06273721903562546,0.9885848760604858,0.9842382669448853,0.9741840958595276,0.04627983644604683,0.9920682311058044,0.9871102571487427,0.9824994802474976
4,0.06267707794904709,0.9886047840118408,0.9843609929084778,0.9742149710655212,0.04828215017914772,0.9919617176055908,0.9865730404853821,0.9812659621238708
5,0.06232474371790886,0.988680362701416,0.9845461845397949,0.9742647409439087,0.04479018226265907,0.9922844767570496,0.9875360727310181,0.9827202558517456
6,0.06217392534017563,0.9886904358863831,0.9845553636550903,0.9744055867195129,0.04534025117754936,0.9921495914459229,0.9874218702316284,0.9824446439743042
7,0.062269389629364014,0.9886922240257263,0.9845957159996033,0.9743335247039795,0.04599805176258087,0.9921261668205261,0.98699951171875,0.9825378656387329
8,0.061962224543094635,0.9886856079101562,0.9844539761543274,0.9744888544082642,0.045253753662109375,0.9922224879264832,0.9875526428222656,0.982945442199707
9,0.06212897598743439,0.9887359738349915,0.9845730066299438,0.9744969010353088,0.04583365097641945,0.992109477519989,0.9874581694602966,0.9825202822685242
10,0.06180402263998985,0.9887685179710388,0.9846214652061462,0.9747822880744934,0.04525597766041756,0.9922902584075928,0.9874674081802368,0.9827722311019897
11,0.06182944029569626,0.988757848739624,0.9846060276031494,0.974506676197052,0.04549816623330116,0.9921705722808838,0.987496554851532,0.9829555749893188
12,0.06178302317857742,0.9887818098068237,0.9845981597900391,0.9746754169464111,0.04613973945379257,0.992231547832489,0.9872897267341614,0.9825321435928345
13,0.061518311500549316,0.9888129830360413,0.9847030639648438,0.9746155142784119,0.04502842575311661,0.9922385215759277,0.9874476790428162,0.9828781485557556
14,0.061145782470703125,0.9888791441917419,0.9847508072853088,0.9747251272201538,0.04533303529024124,0.9921197295188904,0.987377405166626,0.9829375147819519
15,0.06104825437068939,0.9889028668403625,0.9847249388694763,0.9746394753456116,0.04470691829919815,0.9922717213630676,0.9875690937042236,0.9829480648040771
16,0.061018332839012146,0.9889310002326965,0.9848228096961975,0.9748064875602722,0.04458465799689293,0.9923179745674133,0.9876085519790649,0.9832500219345093
17,0.0608331561088562,0.9889518618583679,0.9848173260688782,0.9751669764518738,0.04566607251763344,0.9921895861625671,0.9874276518821716,0.9829282164573669
18,0.06083879619836807,0.9889708757400513,0.9848217964172363,0.9751096963882446,0.04556818678975105,0.9923505187034607,0.9874743223190308,0.9827738404273987
19,0.06059513986110687,0.9889870882034302,0.9848416447639465,0.9750943779945374,0.04449310526251793,0.9923927187919617,0.9875646233558655,0.9831852316856384
20,0.06056736409664154,0.9889721870422363,0.9848450422286987,0.9751391410827637,0.04426219314336777,0.9925124645233154,0.987730860710144,0.9831518530845642
1,0.060407605022192,0.9889940023422241,0.9849839210510254,0.975232720375061,0.04459627345204353,0.9923398494720459,0.9875432848930359,0.9832178950309753
2,0.06017330661416054,0.9890792965888977,0.9850588440895081,0.9752625226974487,0.04443882778286934,0.992346465587616,0.9876726865768433,0.9834696054458618
3,0.060223475098609924,0.9890367388725281,0.9850252866744995,0.9753069281578064,0.04432693496346474,0.9924564957618713,0.9878470301628113,0.9834144115447998
4,0.06031358987092972,0.9890291094779968,0.9849911332130432,0.9751414060592651,0.04450267180800438,0.9923679232597351,0.9877850413322449,0.9834672808647156
1,0.06004761531949043,0.9890621304512024,0.9849951863288879,0.9754493236541748,0.04402153939008713,0.9924832582473755,0.9877924919128418,0.983340322971344
2,0.06006466969847679,0.9890798330307007,0.9850339293479919,0.9752679467201233,0.04444433003664017,0.992459237575531,0.987573504447937,0.9830846190452576
3,0.05994866415858269,0.9890987873077393,0.9849469661712646,0.9755600094795227,0.04412522912025452,0.9925335049629211,0.9878149628639221,0.983429491519928
4,0.05968661978840828,0.9891270995140076,0.9851284027099609,0.9756084680557251,0.04399041086435318,0.9922950267791748,0.9876100420951843,0.9833726286888123
5,0.05985356494784355,0.9891353845596313,0.985146701335907,0.9753637909889221,0.044134657829999924,0.9924638271331787,0.9877103567123413,0.9831911325454712
6,0.05940517410635948,0.9891927242279053,0.9852204322814941,0.975696325302124,0.04375787079334259,0.9924330711364746,0.9877340197563171,0.9834747910499573
7,0.059626732021570206,0.9891728162765503,0.9852446913719177,0.9758705496788025,0.04402025043964386,0.9923996925354004,0.9877139329910278,0.9833962321281433
8,0.05937820300459862,0.9891803860664368,0.98529052734375,0.9756976366043091,0.04391966387629509,0.9925112128257751,0.9876835942268372,0.9834491610527039
9,0.05966373160481453,0.989102840423584,0.9850935339927673,0.975699782371521,0.04342766851186752,0.99260413646698,0.9878237247467041,0.9837940335273743
10,0.05935610830783844,0.9892343878746033,0.9852822422981262,0.9756097793579102,0.043629519641399384,0.9924896359443665,0.9880107045173645,0.983754575252533
11,0.05926831439137459,0.9891815781593323,0.9852767586708069,0.9757871031761169,0.04364535212516785,0.9926575422286987,0.9878485798835754,0.9837632179260254
12,0.059238459914922714,0.9892076253890991,0.9852983951568604,0.9756954312324524,0.04370107129216194,0.9925200939178467,0.9877601265907288,0.9838439226150513
13,0.059053510427474976,0.9892426133155823,0.9853041172027588,0.9757395386695862,0.04346223175525665,0.9925128817558289,0.9877327084541321,0.9837415814399719
1,0.059295523911714554,0.989227294921875,0.9852582812309265,0.9758577346801758,0.04339351877570152,0.9925782680511475,0.98785001039505,0.98371422290802
1,0.05917024239897728,0.9892252087593079,0.9853444695472717,0.9757353663444519,0.04367953538894653,0.9926654100418091,0.9878405928611755,0.9837875962257385
2,0.05891038477420807,0.9892835021018982,0.9853536486625671,0.9757611751556396,0.04396875947713852,0.9925302863121033,0.9877267479896545,0.9832618236541748
3,0.05892539024353027,0.9892482161521912,0.9852759838104248,0.9759008288383484,0.04331118240952492,0.9925646185874939,0.9878278970718384,0.9836994409561157
4,0.05899513512849808,0.9892438054084778,0.9853124022483826,0.9758434295654297,0.043561603873968124,0.9925425052642822,0.9879794120788574,0.9837550520896912
5,0.05897201970219612,0.9892868995666504,0.9852533340454102,0.9758476614952087,0.04318391531705856,0.9926440715789795,0.98795086145401,0.9838475584983826
6,0.05871766433119774,0.9893052577972412,0.9853333234786987,0.9759054183959961,0.04338526353240013,0.9927235245704651,0.9879038333892822,0.983784556388855
7,0.0589820072054863,0.9892631769180298,0.9852473139762878,0.9756439328193665,0.043542854487895966,0.9926854968070984,0.9878958463668823,0.9837650060653687
8,0.058961328119039536,0.989279568195343,0.9853465557098389,0.9760507941246033,0.04343500733375549,0.9926522970199585,0.9879322648048401,0.9837983250617981
9,0.05887918174266815,0.9892846345901489,0.9853455424308777,0.9758997559547424,0.04348330944776535,0.9925910234451294,0.987877368927002,0.9839233160018921
10,0.05881452560424805,0.9892951250076294,0.9854051470756531,0.9756666421890259,0.04322066530585289,0.9927210211753845,0.9879200458526611,0.9838793277740479
1,0.05902734026312828,0.9892664551734924,0.9853759407997131,0.9758443236351013,0.0435326024889946,0.9925563335418701,0.9877275228500366,0.9836596846580505
2,0.058870960026979446,0.9892487525939941,0.9853731393814087,0.976011335849762,0.04334530234336853,0.9926608204841614,0.9879196882247925,0.9837808609008789
3,0.058816418051719666,0.9892926216125488,0.9853355884552002,0.9760329723358154,0.04318162426352501,0.9926281571388245,0.9879655241966248,0.9839662909507751
